timestamp,household,device,attack_type,prediction,confidence,cpu_usage,ram_usage
02:57:05,Household_4,LightBulb_2,DoS,malware,0.88,,
02:57:06,Household_4,LightBulb_2,Ransomware,malware,0.85,,
02:57:07,Household_5,SmartTV_2,Ransomware,malware,0.86,,
02:57:08,Household_5,DoorLock_2,Ransomware,malware,0.97,,
02:57:09,Household_5,SmartTV_2,DoS,malware,0.95,,
02:57:10,Household_2,DoorLock,Normal,benign,0.94,,
02:57:11,Household_2,Camera_2,Normal,benign,0.87,,
02:57:12,Household_2,Camera_2,Scanning,malware,0.89,,
02:57:13,Household_5,Router_2,Ransomware,malware,0.89,,
02:57:14,Household_2,SmartTV,Normal,benign,0.96,,
02:57:15,Household_2,Camera_2,Normal,benign,0.97,,
02:57:16,Household_2,DoorLock,Normal,benign,0.97,,
02:57:17,Household_1,LightBulb,Normal,benign,0.96,,
02:56:58,Monitor,RasPi,Normal,benign,0.94,48.8,33.1
02:56:58,Monitor,VM1,Normal,benign,0.9,46.8,50.9
02:56:58,Monitor,VM2,Scanning,malware,0.94,66.3,80.8
02:56:58,Monitor,VM3,Normal,benign,0.87,39.5,51.1
02:56:58,Monitor,VM4,Normal,benign,0.94,37.6,37.5
02:56:59,Household_3,WeatherSensor,Ransomware,malware,0.94,,
02:57:00,Household_5,Router_2,DoS,malware,0.94,,
02:57:01,Household_4,LightBulb_2,Ransomware,malware,0.97,,
02:57:02,Household_3,WeatherSensor,Ransomware,malware,0.87,,
02:57:03,Household_3,Router,Ransomware,malware,0.91,,
02:57:04,Household_3,Router,Mirai,malware,0.91,,
02:57:05,Household_1,Thermostat,Normal,benign,0.91,,
02:57:06,Household_4,Thermostat_2,Normal,benign,0.85,,
02:57:07,Household_2,Camera_2,DoS,malware,0.9,,
02:57:08,Household_1,Camera_1,Scanning,malware,0.91,,
02:57:09,Household_4,Camera_4,Ransomware,malware,0.88,,
02:57:10,Household_1,Thermostat,Normal,benign,0.93,,
02:57:11,Household_3,Camera_3,Normal,benign,0.85,,
02:57:12,Household_3,Camera_3,Normal,benign,0.93,,
02:57:13,Household_3,Router,Normal,benign,0.86,,
02:57:14,Household_3,WeatherSensor,Scanning,malware,0.85,,
02:57:15,Household_2,SmartTV,Normal,benign,0.97,,
02:57:16,Household_1,Thermostat,Normal,benign,0.87,,
02:57:17,Household_2,SmartTV,DoS,malware,0.97,,
02:57:18,Household_2,Camera_2,Normal,benign,0.89,,
02:56:59,Monitor,RasPi,Mirai,malware,0.91,81.0,88.6
02:56:59,Monitor,VM1,Normal,benign,0.92,18.4,23.5
02:56:59,Monitor,VM2,Normal,benign,0.85,45.0,30.0
02:56:59,Monitor,VM3,Normal,benign,0.92,44.5,53.8
02:56:59,Monitor,VM4,Normal,benign,0.85,36.5,48.9
02:57:00,Household_3,Camera_3,Normal,benign,0.99,,
02:57:01,Household_3,WeatherSensor,Normal,benign,0.96,,
02:57:02,Household_4,LightBulb_2,Ransomware,malware,0.94,,
02:57:03,Household_4,Camera_4,Mirai,malware,0.99,,
02:57:04,Household_5,SmartTV_2,DoS,malware,0.89,,
02:57:05,Household_2,DoorLock,Normal,benign,0.86,,
02:57:06,Household_2,Camera_2,Normal,benign,0.95,,
02:57:07,Household_1,Camera_1,Normal,benign,0.94,,
02:57:08,Household_5,SmartTV_2,DoS,malware,0.98,,
02:57:09,Household_3,Router,Normal,benign,0.93,,
02:57:10,Household_5,SmartTV_2,Scanning,malware,0.91,,
02:57:11,Household_4,Thermostat_2,Normal,benign,0.88,,
02:57:12,Household_2,Camera_2,Normal,benign,0.99,,
02:57:13,Household_3,Router,Normal,benign,0.99,,
02:57:14,Household_2,DoorLock,Scanning,malware,0.95,,
02:57:15,Household_1,Thermostat,Normal,benign,0.89,,
02:57:16,Household_1,LightBulb,Normal,benign,0.96,,
02:57:17,Household_5,Router_2,Mirai,malware,0.93,,
02:57:18,Household_2,DoorLock,Normal,benign,0.98,,
02:57:19,Household_3,Camera_3,Normal,benign,0.98,,
02:57:00,Monitor,RasPi,Normal,benign,0.99,17.3,49.1
02:57:00,Monitor,VM1,Normal,benign,0.87,36.5,30.0
02:57:00,Monitor,VM2,Normal,benign,0.87,14.0,48.8
02:57:00,Monitor,VM3,Normal,benign,0.9,21.1,41.4
02:57:00,Monitor,VM4,Scanning,malware,0.88,62.2,88.6
02:57:01,Household_3,Camera_3,Normal,benign,0.86,,
02:57:02,Household_2,DoorLock,Mirai,malware,0.89,,
02:57:03,Household_5,DoorLock_2,Mirai,malware,0.97,,
02:57:04,Household_2,Camera_2,DoS,malware,0.89,,
02:57:05,Household_3,WeatherSensor,DoS,malware,0.91,,
02:57:06,Household_3,Camera_3,DoS,malware,0.85,,
02:57:07,Household_2,Camera_2,Normal,benign,0.89,,
02:57:08,Household_4,Thermostat_2,Normal,benign,0.96,,
02:57:09,Household_2,SmartTV,Normal,benign,0.94,,
02:57:10,Household_3,WeatherSensor,DoS,malware,0.85,,
02:57:11,Household_1,Camera_1,Normal,benign,0.96,,
02:57:12,Household_3,WeatherSensor,Scanning,malware,0.85,,
02:57:13,Household_3,WeatherSensor,Normal,benign,0.99,,
02:57:14,Household_1,LightBulb,Normal,benign,0.93,,
02:57:15,Household_5,Router_2,DoS,malware,0.88,,
02:57:16,Household_4,Thermostat_2,Normal,benign,0.88,,
02:57:17,Household_5,DoorLock_2,Scanning,malware,0.98,,
02:57:18,Household_1,LightBulb,Normal,benign,0.86,,
02:57:19,Household_5,SmartTV_2,Mirai,malware,0.95,,
02:57:20,Household_3,WeatherSensor,DoS,malware,0.95,,
02:57:01,Monitor,RasPi,Normal,benign,0.88,22.6,32.6
02:57:01,Monitor,VM1,Normal,benign,0.87,29.7,30.2
02:57:01,Monitor,VM2,Normal,benign,0.93,13.1,47.1
02:57:01,Monitor,VM3,Normal,benign,0.96,10.9,33.6
02:57:01,Monitor,VM4,Normal,benign,0.91,34.1,29.7
02:57:02,Household_2,DoorLock,Normal,benign,0.96,,
02:57:03,Household_1,LightBulb,Normal,benign,0.89,,
02:57:04,Household_1,LightBulb,Normal,benign,0.91,,
02:57:05,Household_4,Camera_4,Normal,benign,0.97,,
02:57:06,Household_3,WeatherSensor,Normal,benign,0.98,,
02:57:07,Household_1,Thermostat,Normal,benign,0.92,,
02:57:08,Household_3,Router,Normal,benign,0.96,,
02:57:09,Household_4,Thermostat_2,DoS,malware,0.97,,
02:57:10,Household_4,Camera_4,Mirai,malware,0.91,,
02:57:11,Household_1,Camera_1,Normal,benign,0.97,,
02:57:12,Household_4,Camera_4,Mirai,malware,0.95,,
02:57:13,Household_1,Camera_1,Normal,benign,0.96,,
02:57:14,Household_5,DoorLock_2,Ransomware,malware,0.92,,
02:57:15,Household_5,DoorLock_2,Ransomware,malware,0.91,,
02:57:16,Household_1,Thermostat,Normal,benign,0.87,,
02:57:17,Household_1,LightBulb,Normal,benign,0.87,,
02:57:18,Household_2,SmartTV,Normal,benign,0.89,,
02:57:19,Household_5,DoorLock_2,Ransomware,malware,0.91,,
02:57:20,Household_3,Router,Normal,benign,0.98,,
02:57:21,Household_5,DoorLock_2,Mirai,malware,0.97,,
02:57:02,Monitor,RasPi,Normal,benign,0.89,42.8,41.5
02:57:02,Monitor,VM1,Normal,benign,0.99,48.2,47.2
02:57:02,Monitor,VM2,DoS,malware,0.94,70.1,60.2
02:57:02,Monitor,VM3,Normal,benign,0.98,22.2,52.0
02:57:02,Monitor,VM4,Normal,benign,0.98,45.2,23.7
02:57:03,Household_5,SmartTV_2,Ransomware,malware,0.88,,
02:57:04,Household_1,Camera_1,Normal,benign,0.97,,
02:57:05,Household_3,WeatherSensor,Ransomware,malware,0.97,,
02:57:06,Household_3,Router,Normal,benign,0.98,,
02:57:07,Household_1,LightBulb,Normal,benign,0.95,,
02:57:08,Household_4,Camera_4,Normal,benign,0.95,,
02:57:09,Household_4,LightBulb_2,Scanning,malware,0.9,,
02:57:10,Household_4,Camera_4,Normal,benign,0.88,,
02:57:11,Household_3,Camera_3,Normal,benign,0.85,,
02:57:12,Household_3,WeatherSensor,Normal,benign,0.94,,
02:57:13,Household_1,Thermostat,Normal,benign,0.87,,
02:57:14,Household_4,LightBulb_2,Normal,benign,0.9,,
02:57:15,Household_5,SmartTV_2,Ransomware,malware,0.86,,
02:57:16,Household_4,Thermostat_2,DoS,malware,0.96,,
02:57:17,Household_4,Thermostat_2,Mirai,malware,0.95,,
02:57:18,Household_5,SmartTV_2,Mirai,malware,0.9,,
02:57:19,Household_1,LightBulb,Normal,benign,0.98,,
02:57:20,Household_5,Router_2,Scanning,malware,0.95,,
02:57:21,Household_3,Camera_3,Ransomware,malware,0.92,,
02:57:22,Household_1,LightBulb,Normal,benign,0.96,,
02:57:03,Monitor,RasPi,Normal,benign,0.86,44.3,53.4
02:57:03,Monitor,VM1,Normal,benign,0.95,21.7,40.4
02:57:03,Monitor,VM2,Normal,benign,0.89,15.3,20.5
02:57:03,Monitor,VM3,Normal,benign,0.87,16.1,34.8
02:57:03,Monitor,VM4,Normal,benign,0.94,23.3,44.4
02:57:04,Household_5,Router_2,Ransomware,malware,0.99,,
02:57:05,Household_1,LightBulb,Normal,benign,0.92,,
02:57:06,Household_5,SmartTV_2,Normal,benign,0.97,,
02:57:07,Household_3,Camera_3,Normal,benign,0.95,,
02:57:08,Household_1,Thermostat,DoS,malware,0.86,,
02:57:09,Household_5,Router_2,DoS,malware,0.97,,
02:57:10,Household_5,Router_2,DoS,malware,0.89,,
02:57:11,Household_1,Camera_1,Normal,benign,0.86,,
02:57:12,Household_1,LightBulb,Normal,benign,0.93,,
02:57:13,Household_3,Router,Ransomware,malware,0.89,,
02:57:14,Household_1,Camera_1,Normal,benign,0.89,,
02:57:15,Household_1,LightBulb,Scanning,malware,0.86,,
02:57:16,Household_4,Camera_4,Normal,benign,0.96,,
02:57:17,Household_5,SmartTV_2,Scanning,malware,0.99,,
02:57:18,Household_5,SmartTV_2,Mirai,malware,0.85,,
02:57:19,Household_2,DoorLock,Normal,benign,0.97,,
02:57:20,Household_2,DoorLock,Normal,benign,0.88,,
02:57:21,Household_1,Camera_1,Normal,benign,0.86,,
02:57:22,Household_5,DoorLock_2,DoS,malware,0.97,,
02:57:23,Household_2,DoorLock,Normal,benign,0.88,,
02:57:04,Monitor,RasPi,Normal,benign,0.96,77.8,65.9
02:57:04,Monitor,VM1,Normal,benign,0.99,38.3,28.5
02:57:04,Monitor,VM2,Normal,benign,0.99,20.1,40.5
02:57:04,Monitor,VM3,Normal,benign,0.95,40.2,35.8
02:57:04,Monitor,VM4,Normal,benign,0.87,22.9,37.2
02:57:05,Household_1,Camera_1,Normal,benign,0.91,,
02:57:06,Household_5,DoorLock_2,Scanning,malware,0.88,,
02:57:07,Household_4,LightBulb_2,Mirai,malware,0.87,,
02:57:08,Household_4,Thermostat_2,Mirai,malware,0.94,,
02:57:09,Household_1,Thermostat,Normal,benign,0.92,,
02:57:10,Household_5,Router_2,Ransomware,malware,0.85,,
02:57:11,Household_2,SmartTV,Normal,benign,0.99,,
02:57:12,Household_5,SmartTV_2,Ransomware,malware,0.97,,
02:57:13,Household_3,WeatherSensor,DoS,malware,0.97,,
02:57:14,Household_4,LightBulb_2,DoS,malware,0.9,,
02:57:15,Household_5,SmartTV_2,Scanning,malware,0.87,,
02:57:16,Household_4,LightBulb_2,Scanning,malware,0.94,,
02:57:17,Household_5,Router_2,Ransomware,malware,0.99,,
02:57:18,Household_1,Thermostat,Normal,benign,0.9,,
02:57:19,Household_4,Thermostat_2,Normal,benign,0.87,,
02:57:20,Household_4,Thermostat_2,Mirai,malware,0.96,,
02:57:21,Household_5,DoorLock_2,Normal,benign,0.99,,
02:57:22,Household_1,Thermostat,Normal,benign,0.98,,
02:57:23,Household_1,LightBulb,Normal,benign,0.86,,
02:57:24,Household_5,Router_2,Mirai,malware,0.89,,
02:57:05,Monitor,RasPi,Normal,benign,0.9,14.3,41.2
02:57:05,Monitor,VM1,Normal,benign,0.95,35.9,24.7
02:57:05,Monitor,VM2,Normal,benign,0.87,27.8,37.9
02:57:05,Monitor,VM3,Normal,benign,0.96,35.4,25.8
02:57:05,Monitor,VM4,Normal,benign,0.97,38.4,27.8
02:57:06,Household_2,SmartTV,Normal,benign,0.98,,
02:57:07,Household_3,WeatherSensor,Normal,benign,0.95,,
02:57:08,Household_4,Thermostat_2,Mirai,malware,0.94,,
02:57:09,Household_1,LightBulb,Normal,benign,0.87,,
02:57:10,Household_4,Camera_4,DoS,malware,0.85,,
02:57:11,Household_5,DoorLock_2,Ransomware,malware,0.87,,
02:57:12,Household_3,Camera_3,Normal,benign,0.95,,
02:57:13,Household_1,Thermostat,Normal,benign,0.95,,
02:57:14,Household_5,Router_2,Normal,benign,0.95,,
02:57:15,Household_2,Camera_2,Normal,benign,0.92,,
02:57:16,Household_2,DoorLock,Normal,benign,0.86,,
02:57:17,Household_3,Camera_3,Normal,benign,0.99,,
02:57:18,Household_3,Camera_3,Normal,benign,0.98,,
02:57:19,Household_4,Thermostat_2,Normal,benign,0.9,,
02:57:20,Household_5,DoorLock_2,DoS,malware,0.87,,
02:57:21,Household_1,Camera_1,Mirai,malware,0.87,,
02:57:22,Household_2,Camera_2,Normal,benign,0.97,,
02:57:23,Household_2,SmartTV,DoS,malware,0.95,,
02:57:24,Household_5,DoorLock_2,Mirai,malware,0.86,,
02:57:25,Household_1,Thermostat,Normal,benign,0.86,,
02:57:06,Monitor,RasPi,Normal,benign,0.86,34.2,49.3
02:57:06,Monitor,VM1,DoS,malware,0.98,80.5,85.8
02:57:06,Monitor,VM2,Normal,benign,0.86,13.5,20.5
02:57:06,Monitor,VM3,Normal,benign,0.92,19.9,49.2
02:57:06,Monitor,VM4,Normal,benign,0.9,83.4,57.3
02:57:07,Household_1,Thermostat,Normal,benign,0.96,,
02:57:08,Household_5,DoorLock_2,DoS,malware,0.92,,
02:57:09,Household_3,Router,Scanning,malware,0.95,,
02:57:10,Household_4,LightBulb_2,Scanning,malware,0.91,,
02:57:11,Household_3,WeatherSensor,Normal,benign,0.93,,
02:57:12,Household_3,Camera_3,Mirai,malware,0.97,,
02:57:13,Household_5,DoorLock_2,DoS,malware,0.87,,
02:57:14,Household_2,SmartTV,Normal,benign,0.95,,
02:57:15,Household_1,LightBulb,Normal,benign,0.92,,
02:57:16,Household_2,Camera_2,Normal,benign,0.9,,
02:57:17,Household_2,DoorLock,Normal,benign,0.94,,
02:57:18,Household_1,Camera_1,Normal,benign,0.91,,
02:57:19,Household_2,SmartTV,Normal,benign,0.93,,
02:57:20,Household_4,LightBulb_2,DoS,malware,0.9,,
02:57:21,Household_2,DoorLock,Normal,benign,0.91,,
02:57:22,Household_5,SmartTV_2,Mirai,malware,0.97,,
02:57:23,Household_5,SmartTV_2,Ransomware,malware,0.96,,
02:57:24,Household_5,DoorLock_2,Mirai,malware,0.89,,
02:57:25,Household_5,SmartTV_2,DoS,malware,0.87,,
02:57:26,Household_2,DoorLock,Normal,benign,0.94,,
02:57:07,Monitor,RasPi,Normal,benign,0.92,48.0,31.7
02:57:07,Monitor,VM1,Normal,benign,0.92,45.9,33.1
02:57:07,Monitor,VM2,Normal,benign,0.87,34.4,32.1
02:57:07,Monitor,VM3,Ransomware,malware,0.91,75.4,70.1
02:57:07,Monitor,VM4,Normal,benign,0.86,25.3,49.8
02:57:08,Household_1,LightBulb,Normal,benign,0.95,,
02:57:09,Household_5,Router_2,Mirai,malware,0.86,,
02:57:10,Household_5,SmartTV_2,Scanning,malware,0.99,,
02:57:11,Household_2,DoorLock,Normal,benign,0.9,,
02:57:12,Household_3,WeatherSensor,DoS,malware,0.87,,
02:57:13,Household_4,Camera_4,Normal,benign,0.91,,
02:57:14,Household_5,SmartTV_2,DoS,malware,0.96,,
02:57:15,Household_5,DoorLock_2,Scanning,malware,0.99,,
02:57:16,Household_1,Camera_1,Normal,benign,0.96,,
02:57:17,Household_5,DoorLock_2,Ransomware,malware,0.97,,
02:57:18,Household_5,DoorLock_2,Scanning,malware,0.93,,
02:57:19,Household_1,Camera_1,Normal,benign,0.91,,
02:57:20,Household_3,WeatherSensor,Normal,benign,0.94,,
02:57:21,Household_1,Camera_1,Normal,benign,0.94,,
02:57:22,Household_2,SmartTV,DoS,malware,0.96,,
02:57:23,Household_4,Camera_4,Normal,benign,0.9,,
02:57:24,Household_5,DoorLock_2,Scanning,malware,0.87,,
02:57:25,Household_1,LightBulb,Normal,benign,0.86,,
02:57:26,Household_5,Router_2,Ransomware,malware,0.92,,
02:57:27,Household_3,Router,Normal,benign,0.86,,
02:57:08,Monitor,RasPi,Normal,benign,0.86,92.1,81.9
02:57:08,Monitor,VM1,Normal,benign,0.98,80.8,88.5
02:57:08,Monitor,VM2,Normal,benign,0.98,13.1,49.7
02:57:08,Monitor,VM3,Normal,benign,0.9,27.4,47.5
02:57:08,Monitor,VM4,Normal,benign,0.92,10.2,53.6
02:57:09,Household_2,Camera_2,Normal,benign,0.94,,
02:57:10,Household_2,SmartTV,Mirai,malware,0.9,,
02:57:11,Household_3,Camera_3,Scanning,malware,0.87,,
02:57:12,Household_1,LightBulb,Normal,benign,0.98,,
02:57:13,Household_3,WeatherSensor,Normal,benign,0.91,,
02:57:14,Household_5,DoorLock_2,Scanning,malware,0.99,,
02:57:15,Household_5,Router_2,DoS,malware,0.85,,
02:57:16,Household_3,Router,Scanning,malware,0.93,,
02:57:17,Household_3,WeatherSensor,Normal,benign,0.88,,
02:57:18,Household_1,LightBulb,Normal,benign,0.86,,
02:57:19,Household_5,SmartTV_2,Ransomware,malware,0.88,,
02:57:20,Household_5,SmartTV_2,Scanning,malware,0.85,,
02:57:21,Household_1,Thermostat,Normal,benign,0.96,,
02:57:22,Household_1,Camera_1,DoS,malware,0.93,,
02:57:23,Household_1,Thermostat,Normal,benign,0.96,,
02:57:24,Household_5,Router_2,Normal,benign,0.99,,
02:57:25,Household_2,SmartTV,Normal,benign,0.96,,
02:57:26,Household_2,DoorLock,Normal,benign,0.9,,
02:57:27,Household_1,Thermostat,Normal,benign,0.98,,
02:57:28,Household_4,Thermostat_2,Ransomware,malware,0.88,,
02:57:09,Monitor,RasPi,Normal,benign,0.89,37.3,45.4
02:57:09,Monitor,VM1,Normal,benign,0.87,22.6,46.7
02:57:09,Monitor,VM2,Normal,benign,0.97,25.9,36.5
02:57:09,Monitor,VM3,Normal,benign,0.92,82.2,62.3
02:57:09,Monitor,VM4,Normal,benign,0.92,47.5,41.9
02:57:10,Household_2,DoorLock,Normal,benign,0.96,,
02:57:11,Household_2,SmartTV,Normal,benign,0.86,,
02:57:12,Household_1,Camera_1,Normal,benign,0.87,,
02:57:13,Household_3,Camera_3,Normal,benign,0.93,,
02:57:14,Household_2,SmartTV,Ransomware,malware,0.93,,
02:57:15,Household_3,WeatherSensor,Normal,benign,0.95,,
02:57:16,Household_2,SmartTV,Normal,benign,0.96,,
02:57:17,Household_5,DoorLock_2,Mirai,malware,0.86,,
02:57:18,Household_3,Camera_3,Normal,benign,0.87,,
02:57:19,Household_5,Router_2,Mirai,malware,0.97,,
02:57:20,Household_5,SmartTV_2,Scanning,malware,0.89,,
02:57:21,Household_5,SmartTV_2,Ransomware,malware,0.95,,
02:57:22,Household_3,Router,Normal,benign,0.87,,
02:57:23,Household_5,SmartTV_2,Normal,benign,0.98,,
02:57:24,Household_1,Camera_1,Normal,benign,0.89,,
02:57:25,Household_1,LightBulb,Normal,benign,0.97,,
02:57:26,Household_4,LightBulb_2,DoS,malware,0.95,,
02:57:27,Household_4,Thermostat_2,Scanning,malware,0.87,,
02:57:28,Household_1,Thermostat,Normal,benign,0.98,,
02:57:29,Household_4,LightBulb_2,DoS,malware,0.87,,
02:57:10,Monitor,RasPi,Normal,benign,0.9,40.7,21.3
02:57:10,Monitor,VM1,DoS,malware,0.91,84.5,57.5
02:57:10,Monitor,VM2,Normal,benign,0.92,19.1,34.7
02:57:10,Monitor,VM3,Normal,benign,0.94,48.3,48.4
02:57:10,Monitor,VM4,Normal,benign,0.91,29.8,54.7
02:57:11,Household_4,Camera_4,Normal,benign,0.88,,
02:57:12,Household_3,Router,Ransomware,malware,0.88,,
02:57:13,Household_3,Router,Normal,benign,0.99,,
02:57:14,Household_5,SmartTV_2,Scanning,malware,0.9,,
02:57:15,Household_4,Thermostat_2,Mirai,malware,0.88,,
02:57:16,Household_5,SmartTV_2,Scanning,malware,0.97,,
02:57:17,Household_3,Camera_3,Ransomware,malware,0.88,,
02:57:18,Household_3,Camera_3,Scanning,malware,0.9,,
02:57:19,Household_4,Thermostat_2,Mirai,malware,0.92,,
02:57:20,Household_1,Camera_1,Normal,benign,0.86,,
02:57:21,Household_1,LightBulb,Normal,benign,0.89,,
02:57:22,Household_5,DoorLock_2,Mirai,malware,0.94,,
02:57:23,Household_2,SmartTV,Normal,benign,0.87,,
02:57:24,Household_3,Router,DoS,malware,0.87,,
02:57:25,Household_4,Thermostat_2,Normal,benign,0.91,,
02:57:26,Household_5,SmartTV_2,Scanning,malware,0.97,,
02:57:27,Household_4,LightBulb_2,Mirai,malware,0.92,,
02:57:28,Household_5,DoorLock_2,Scanning,malware,0.88,,
02:57:29,Household_2,SmartTV,Normal,benign,0.95,,
02:57:30,Household_3,Camera_3,DoS,malware,0.95,,
02:57:11,Monitor,RasPi,Normal,benign,0.96,11.2,28.3
02:57:11,Monitor,VM1,Normal,benign,0.85,92.7,67.5
02:57:11,Monitor,VM2,Mirai,malware,0.91,63.9,88.2
02:57:11,Monitor,VM3,Normal,benign,0.85,15.2,45.7
02:57:11,Monitor,VM4,Normal,benign,0.91,67.8,72.8
02:57:12,Household_4,Camera_4,Mirai,malware,0.93,,
02:57:13,Household_4,LightBulb_2,Ransomware,malware,0.85,,
02:57:14,Household_3,Camera_3,Ransomware,malware,0.86,,
02:57:15,Household_4,LightBulb_2,Mirai,malware,0.87,,
02:57:16,Household_1,LightBulb,Normal,benign,0.96,,
02:57:17,Household_3,WeatherSensor,Ransomware,malware,0.88,,
02:57:18,Household_2,Camera_2,Normal,benign,0.91,,
02:57:19,Household_4,Thermostat_2,Ransomware,malware,0.95,,
02:57:20,Household_2,DoorLock,Normal,benign,0.86,,
02:57:21,Household_5,Router_2,Mirai,malware,0.9,,
02:57:22,Household_1,Camera_1,Normal,benign,0.86,,
02:57:23,Household_3,Router,Normal,benign,0.92,,
02:57:24,Household_4,LightBulb_2,Mirai,malware,0.87,,
02:57:25,Household_2,SmartTV,Normal,benign,0.93,,
02:57:26,Household_2,SmartTV,Normal,benign,0.95,,
02:57:27,Household_2,DoorLock,Scanning,malware,0.87,,
02:57:28,Household_3,Router,Scanning,malware,0.96,,
02:57:29,Household_4,Camera_4,Ransomware,malware,0.96,,
02:57:30,Household_5,Router_2,Mirai,malware,0.91,,
02:57:31,Household_4,Thermostat_2,Normal,benign,0.9,,
02:57:12,Monitor,RasPi,Normal,benign,0.91,37.1,43.4
02:57:12,Monitor,VM1,Mirai,malware,0.95,68.5,56.8
02:57:12,Monitor,VM2,Scanning,malware,0.97,63.5,70.0
02:57:12,Monitor,VM3,Normal,benign,0.99,24.6,47.7
02:57:12,Monitor,VM4,Normal,benign,0.89,41.2,41.2
02:57:13,Household_5,DoorLock_2,DoS,malware,0.97,,
02:57:14,Household_3,Router,Normal,benign,0.9,,
02:57:15,Household_2,DoorLock,Scanning,malware,0.89,,
02:57:16,Household_2,SmartTV,Ransomware,malware,0.93,,
02:57:17,Household_5,DoorLock_2,Scanning,malware,0.96,,
02:57:18,Household_2,SmartTV,Normal,benign,0.96,,
02:57:19,Household_2,SmartTV,Scanning,malware,0.94,,
02:57:20,Household_5,SmartTV_2,Mirai,malware,0.95,,
02:57:21,Household_3,WeatherSensor,Normal,benign,0.89,,
02:57:22,Household_2,DoorLock,Normal,benign,0.9,,
02:57:23,Household_5,DoorLock_2,DoS,malware,0.98,,
02:57:24,Household_5,Router_2,Scanning,malware,0.9,,
02:57:25,Household_5,DoorLock_2,Ransomware,malware,0.93,,
02:57:26,Household_5,DoorLock_2,Mirai,malware,0.92,,
02:57:27,Household_1,LightBulb,Normal,benign,0.93,,
